sample,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass,origin
DD-79433,4.69,95.33,7055,530893,True,D
DN-63511,0.35,99.63,29786,858298,True,N
DT-12354,0.13,99.85,29821,949369,True,T
DD-79817,1.04,98.94,21663,923146,True,D
DN-35395,0.35,99.63,29786,905619,True,N
DC-79166,1.34,98.64,14646,627040,True,C
DN-11350,2.67,97.31,19265,723746,True,N
DC-31009,0.14,99.84,29813,718296,True,C
DC-34120,0.25,99.73,29786,726759,True,C
DD-56928,1.74,98.24,14385,640673,True,D
DT-99103,0.5,99.48,21909,909530,True,T
DT-96567,0.6,99.38,21801,891223,True,T
DD-26057,0.38,99.6,19238,1127892,True,D
DT-85197,0.51,99.47,19371,1023461,True,T
DT-21778,0.4,99.58,19487,1041955,True,T
DT-30281,1.04,98.94,21696,976955,True,T
DN-31163,1.03,98.95,19238,917721,True,N
DT-42241,0.72,99.26,19238,798532,True,T
DT-67174,0.24,99.74,29820,1001222,True,T
DD-74492,0.14,99.84,29819,1063841,True,D
DD-87410,0.35,99.63,29785,668275,True,D
DC-78063,0.26,99.72,29812,952957,True,C
DD-16832,0.94,99.04,19397,922991,True,D
DC-17480,0.81,99.19,19437,865895,True,C
DT-85437,0.25,99.73,29786,960221,True,T
DN-12659,0.38,99.6,19524,865427,True,N
DN-36549,2.03,97.95,19238,637357,True,N
DC-27531,3.13,96.85,11972,722497,True,C
DN-47212,0.26,99.72,19528,685044,True,N
DD-75983,0.97,99.01,19238,952663,True,D
DN-42731,1.06,98.92,21679,751729,True,N
DD-70939,0.95,99.03,19394,732306,True,D
DN-23046,0.24,99.74,29786,945538,True,N
DT-88533,0.96,99.02,19238,877248,True,T
DD-79942,0.52,99.46,21761,986884,True,D
DC-76593,0.2,99.78,29797,1001208,True,C
DD-16408,1.05,98.93,19399,833899,True,D
DN-59529,0.7,99.28,19325,940942,True,N
DC-68128,1.74,98.24,19238,963104,True,C
DD-15672,2.12,97.86,19238,648163,True,D
DC-29745,2.59,97.39,19238,608001,True,C
DC-49576,5.02,94.96,10108,524321,True,C
DT-47161,4.27,95.72,7054,504113,True,T
DT-75439,1.94,98.05,13369,566462,True,T
DC-48394,3.96,96.02,7055,592682,True,C
DC-38737,1.94,98.04,8582,531136,True,C
DD-83921,1.34,98.64,19238,1185560,True,D
DN-39770,0.86,99.12,19240,1004014,True,N
DC-95661,1.52,98.46,21109,756419,True,C
DN-98588,2.71,97.27,13443,678154,True,N
DT-83492,0.19,99.79,21972,958280,True,T
DT-87064,1.16,98.82,21679,712726,True,T
DC-48580,1.14,98.84,19240,1033555,True,C
DD-57071,0.71,99.27,19262,1049496,True,D
DT-22352,1.14,98.84,19238,981257,True,T
DT-74937,1.17,98.81,21679,1036228,True,T
DT-85813,4.75,95.23,7055,682041,True,T
DD-43610,0.24,99.74,29820,943064,True,D
DC-17574,0.35,99.63,19534,946788,True,C
DC-86550,0.24,99.74,29786,879539,True,C
DT-96062,2.89,97.09,13393,576491,True,T
DT-81730,1.3,98.68,19265,1012315,True,T
DC-43540,0.39,99.59,19487,716766,True,C
DN-84070,1.26,98.72,21688,750983,True,N
DN-79537,0.56,99.42,19238,910016,True,N
DN-51540,0.13,99.85,29819,1006103,True,N
DC-60092,1.74,98.24,14385,790021,True,C
DT-98028,0.68,99.3,19528,855697,True,T
DC-89351,1.11,98.87,21693,1014391,True,C
DC-43349,1.18,98.8,21679,967092,True,C
DN-15821,1.39,98.59,19238,1026463,True,N
